time,position,velocity,energy
7.6000000000000005,0.24819005277873546,-0.9674997123810601,0.4988269978778728
7.7,0.15019913127673576,-0.9874191715838337,0.49877819972379533
7.800000000000001,0.05070621846196871,-0.997464439070769,0.49875321390073835
7.9,-0.049293756537418035,-0.9975350621669965,0.4987530373430419
8,-0.1488007939714306,-0.987630334641554,0.49877767709535803
8.1,-0.24681982346572884,-0.967849303769696,0.49882615003156944
8.200000000000001,-0.3423706547253698,-0.938389779860141,0.4988965220815212
8.3,-0.4344977794377571,-0.8995463581519847,0.4989859854004203
8.4,-0.5222799263557668,-0.8517074728623085,0.4990909704018426
8.5,-0.6048392740102189,-0.7953515128440093,0.49920728818423143
8.6,-0.6813502289245688,-0.7310420376972699,0.49933029766806947
8.700000000000001,-0.7510476815496729,-0.6594221421735579,0.4994550907749514
8.8,-0.8132346573592804,-0.5812080252281102,0.49957668825991286
8.9,-0.867289286595295,-0.49718182803038147,0.49969023838330384
9,-0.9126710229653567,-0.40818381255234887,0.49979121049520087
9.1,-0.9489260491057648,-0.3151039589487928,0.49987557580833947
9.200000000000001,-0.9756918147551152,-0.21887306575574877,0.4999399681467252
9.3,-0.9927006622569146,-0.12045344190514728,0.49998181825605675
9.4,-0.9997825031361447,-0.020829283635494314,0.4999994563169715
9.5,-0.9968665189840134,0.0790031674705136,0.4999921785708391
9.600000000000001,-0.9839818696420419,0.17804558690181638,0.4999602753997303
