time,x,y,vx,vy,energy,angular_momentum
1.17,0.48182575122029014,0.8762728883686148,-5.505702433669193,3.02741713043735,-19.739208800185935,6.283185307179567
1.171,0.4763105380734455,0.8792830088309442,-5.524614994211353,2.9927643805710944,-19.739208800164736,6.2831853071795685
1.172,0.4707765212318675,0.882258417129757,-5.543309452002035,2.9579934886131865,-19.73920880014345,6.283185307179568
1.173,0.46522391916944145,0.8851989958081706,-5.561785069086382,2.923105827299756,-19.7392088001221,6.283185307179568
1.174,0.45965295109369475,0.8881046287843566,-5.580041116149732,2.8881027739760188,-19.739208800100673,6.283185307179568
1.175,0.45406383693714203,0.8909752013561227,-5.598076872546394,2.852985710541893,-19.739208800079176,6.2831853071795685
1.176,0.448456797348602,0.8938106002054405,-5.6158916263280965,2.817756023397432,-19.739208800057625,6.283185307179568
1.177,0.44283205368448586,0.8966107134029176,-5.63348467427208,2.782415103388082,-19.73920880003598,6.283185307179568
1.178,0.43718982800005785,0.8993754304122167,-5.6508553219088515,2.7469643457497623,-19.73920880001428,6.2831853071795685
1.179,0.4315303430406682,0.9021046420944172,-5.66800288354959,2.711405150053776,-19.73920879999252,6.2831853071795685
1.18,0.4258538222329587,0.9047982407123242,-5.68492668231321,2.6757389201515456,-19.739208799970694,6.283185307179568
1.181,0.42016048967604175,0.9074561199347202,-5.70162605015307,2.6399670641191815,-19.739208799948813,6.283185307179567
1.182,0.4144505701326525,0.9100781748405625,-5.718100327883338,2.6040909942018837,-19.73920879992685,6.283185307179567
1.183,0.4087242890202751,0.912664301923124,-5.734348865205004,2.5681121267581792,-19.73920879990483,6.283185307179567
1.184,0.40298187240224254,0.9152143990940789,-5.750371020731544,2.532031882203998,-19.739208799882746,6.283185307179567
1.185,0.397223546978812,0.917728365687532,-5.766166162014229,2.4958516849565866,-19.739208799860602,6.283185307179568
1.186,0.3914495400782141,0.920206102463992,-5.781733665567082,2.4595729633782657,-19.739208799838394,6.283185307179567
1.187,0.38566007964767784,0.9226475116142885,-5.797072916891485,2.4231971497200315,-19.739208799816133,6.283185307179567
1.188,0.3798553942444311,0.925052496763432,-5.812183310500424,2.3867256800650045,-19.739208799793804,6.283185307179567
